Platform Player Name;Video File(s) in ESN TV/ESN/Videos;Count;Current club;;Dropbox link 
Leonel SolÃ­s;Leonel SolÃ­s.mp4;1;Sport Boys;;https://www.dropbox.com/scl/fi/w06mzfsyzomyumdsdtaz2/Leonel-Sol-s.mp4?rlkey=pyltofqygc10d9yiyaqpg066h&raw=1
Loris Tinelli;Loris Tinelli.mp4;1;-;;https://www.dropbox.com/scl/fi/qpyzzt7jgxbn32fqbwr1d/Loris-Tinelli.mp4?rlkey=wc5co973uvu12zbp7a726d86m&raw=1
Luciano Nequecaur;Luciano Nequecaur.mp4;1;Sport Boys;;https://www.dropbox.com/scl/fi/3hhxg7vnavao2f7dxvnu3/Luciano-Nequecaur.mp4?rlkey=pp6ppqe4kkzlr77mhwb5s0utd&raw=1
Marcos Blasco;Marcos Blasco.mp4;1;Athletic Club d'Escaldes;;https://www.dropbox.com/scl/fi/1oqyhso0frukqaybt95x0/Marcos-Blasco.mp4?rlkey=0cwvk82zdim1gr2domtspivud&raw=1
Marlon RuidÃ­as;Marlon Ruidias.mp4;1;Cusco;;https://www.dropbox.com/scl/fi/juesa9cyvqteuitwutsvp/Marlon-Ruidias.mp4?rlkey=jxnil4mnjpftvt69t20hmp02c&raw=1
Mart Remans;Mart Remans.mp4;1;Oss;;https://www.dropbox.com/scl/fi/ocn2iy68l9wowtkpvxulz/Mart-Remans.jpg?rlkey=fyncf0gno5qllt9zyrwcmykcs&raw=1
Matko Miljevic;Matko Miljevic.mp4;1;Huracán;;https://www.dropbox.com/scl/fi/7d6whj04eownvt5rozjif/Matko-Miljevic.mp4?rlkey=e4cgq9x3pgnlq1s765hkvhtbc&raw=1
Maxence Maisonneuve;Maxence Maisonneuve.mp4;1;La Louviere;;https://www.dropbox.com/scl/fi/sehmd5bh9ytk3gc2p0pni/Maxence-Maisonneuve.mp4?rlkey=vfgzty4k75cjdkpfiwwzp9oty&raw=1
Memo Rodriguez;Memo Rodriguez.mp4;1;Sacramento Republic;;https://www.dropbox.com/scl/fi/o1r04lyr5tjik6bno3bfp/Memo-Rodriguez.mp4?rlkey=8ag11apzfarv4k9dy71w9hphs&raw=1
Michael Verrips;Michael Verrips 2020.mp4;1;Dender;;https://www.dropbox.com/scl/fi/ax9t3zkm04bvuxgl94eh2/Michael-Verrips-2020.mp4?rlkey=nyjoagsmzoicuaki78lf4o9i0&raw=1
Miguel LÃ³pez;Miguel LÃ³pez II.mp4;;ÚE Santa Coloma;;https://www.dropbox.com/scl/fi/u5i0m33cgaq78rsu9xhyf/Miguel-L-pez-II.mp4?rlkey=x0jjtmr3sdnzcgbmj3w5o4r95&raw=1
Modibo Sagnan;Modibo Sagnan.mp4;1;Rizespor;;https://www.dropbox.com/scl/fi/tuu7ns5cnqqfaozu7dzul/Modibo-Sagnan.mp4?rlkey=yj3y15mqi2b3edwmwtccgufhq&raw=1
Nabil Bentaleb;Nabil Bentaleb.mov;;Lille;;https://vimeo.com/819858413
Neveal Hackshaw;Neveal Hackshaw.mp4;1;;;https://www.dropbox.com/scl/fi/eqvlpvivmp6bbslbrhmpj/Neveal-Hackshaw.mp4?rlkey=44shavhmjwj0is8n9yh0ru9y5&raw=1
Noa Lang;Noa Lang.mp4;1;Galatasaray;;https://www.dropbox.com/scl/fi/mubuuxm2qjyddsohyxerg/Noa-Lang.mp4?rlkey=9m4nf59so0xyodq5dd5s7maxt&raw=1
Olaus Skarsem;Olaus Skarsem.mp4;1;Sarpsborg 08;;https://www.dropbox.com/scl/fi/vqvf58hws82f115f7iwgf/Olaus-Skarsem.mp4?rlkey=90wob639ipnftnmwy5a08mloh&raw=1
Omar Natami;Omar Natami.mp4;1;;;https://www.dropbox.com/scl/fi/cfye6483up4tjg2s3n4w2/Omar-Natami.mp4?rlkey=h6ca5679xh2rztskduha546ks&raw=1
Omar Richards;Omar Richards.mp4;1;Rio Ave;;https://www.dropbox.com/scl/fi/1k158wofws654bdtaotoc/Omar-Richards.mp4?rlkey=mhvv2pibfzrpsh75ssmnnwqgz&raw=1
Pedro Silva Torrejón;Pedro Silva Torrejón.mp4;1;Gimnasia LP;;https://www.dropbox.com/scl/fi/beiocnsxbc2q3syq6dwkx/Pedro-Silva-Torrej-n.mp4?rlkey=6q34681e8k12vql57phl5lq8s&raw=1
Rafael Leão;Rafael Leão.mp4;1;AC Milan;;https://www.dropbox.com/scl/fi/b8tgd6xxc0cya0we243yn/Rafael-Le-o.mp4?rlkey=twsxd2zdgp54samo7oj1e28p0&raw=1
Raheem Somersall;Raheem Somersall.mp4;1;Sporting JAX;;https://www.dropbox.com/scl/fi/536mrsw9x13moux0julwj/Raheem-Somersall.mp4?rlkey=v928wma8n5kz7nw1kdn09csy9&raw=1
Ramiro BalliviÃ¡n;Ramiro Ballivian 2024.mp4;;Bulo Bulo;;https://www.dropbox.com/scl/fi/aw7x5l3uze0y94zvrzzvk/Ramiro-Ballivian-2024.mp4?rlkey=58pjb7ydyo6sdr9bkp1xuvzr1&raw=1
Remi van Ekeris;Remi van Ekeris.mp4;1;Telstar;;https://www.dropbox.com/scl/fi/4oilh81ngmlj1jf4rjynp/Remi-van-Ekeris.mp4?rlkey=ej2mj6ftkijcn8bfzj1lxt1o7&raw=1
Reuven Niemeijer;Reuven Niemeijer.mp4;1;De Graafschap;;https://www.dropbox.com/scl/fi/yhn389sojuksgzgvb0748/Reuven-Niemeijer.mp4?rlkey=kfhmeb49p21om071482678u37&raw=1
Robert Klaasen;Robert Klaasen.mp4;1;MVV Maastricht;;https://www.dropbox.com/scl/fi/s57sqlpzn7h7igtaji4qk/Robert-Klaasen.mp4?rlkey=wxfdosknvnt44nul7i7aja5u8&raw=1
Ronaldo Damus;Ronaldo Damus.mp4;1;;;https://www.dropbox.com/scl/fi/thilp6w7403k7kg8ql7og/Ronaldo-Damus.mp4?rlkey=knq6ux59ios39yozh9ethkl12&raw=1
Sadam Masereka;Sadam Masereka.mp4;1;;;https://www.dropbox.com/scl/fi/1ekilse089iiquaxq7lht/Sadam-Masereka.mp4?rlkey=0vb9slzs73i64047z4k7yebxo&raw=1
Sam Beukema;Sam Beukema 2026.mp4;;;;https://www.dropbox.com/scl/fi/l1takacolhntra0grbntq/Sam-Beukema-2026.mp4?rlkey=461ssgjymdqtnhhwjq16o72vs&raw=1
Sam Kersten;Sam Kersten II.mp4;;Heerenveen;;https://www.dropbox.com/scl/fi/hlw3lru7zulna9micnaim/Sam-Kersten-II-Full-Season.mp4?rlkey=6qzz4ly41rftbq3j48h27zbor&raw=1
SaÃ¯d Bakari;Said Bakari II.mp4;1;Sparta Rotterdam;;https://www.dropbox.com/scl/fi/ysex8nkjfjqtw5u12tgvw/Said-Bakari-II.mp4?rlkey=u22ad9z4a7jnhjig7nw4g7yun&raw=1
Simen Rafn;Simen Rafn.mp4;1;Fredrikstad;;https://www.dropbox.com/scl/fi/i9g0qsbsd3s4orofiz359/Simen-Rafn.mp4?rlkey=223apcqlu7j47p0l8zrwnqa7d&raw=1
Sofiane Diop;Sofiane Diop.mp4;1;;;https://www.dropbox.com/scl/fi/ly8csixjlu3qy2tqe1jlu/Sofiane-Diop.mp4?rlkey=359woye1j3rzsdww1v1tl5olk&raw=1
Tyler Gibson;Tyler Gibson.mp4;1;Oakland Roots;;https://www.dropbox.com/scl/fi/1xcnp63aczmv1tqbqet31/Tyler-Gibson.mp4?rlkey=5ze3kfkeyu5l6651sgen12m3j&raw=1
Will Seymore;Will Seymore.mp4;1;New Mexico United;;https://www.dropbox.com/scl/fi/45iczk5nhvs9odf54kfow/Will-Seymore.mp4?rlkey=m574ssa0axguxe1zfxyxfar2r&raw=1
Yann Massombo;Yann Massombo II.mp4;;Rheindorf Altach;;https://www.dropbox.com/scl/fi/qe5xpgu6fmzfy0asn9uac/Yann-Massombo-II.mp4?rlkey=4z3d3b9us5y35hu1f8xxapqzi&raw=1
Yllan Okou;Yllan Okou.mp4;1;La Louviere;;https://www.dropbox.com/scl/fi/yswtghg9j6pbh11quhi66/Yllan-Okou.mp4?rlkey=eo36ak10pxu7dl46yyfts5z1b&raw=1
Yoan Severin;Yoan Severin.mp4;1;Servette FC;;https://www.dropbox.com/scl/fi/u3uglrpujm59cfva3l6gb/Yoan-Severin-IV.mp4?rlkey=vyexnjlgxnxf8dohcqakx66km&raw=1
Yúber Quiñones;Yuber Quiñones.mp4;1;Pereira;;https://www.dropbox.com/scl/fi/am1cqakp3olmzaslz2lv7/Yuber-Qui-ones.mp4?rlkey=bb7xtpiuap5oiloi138o8oml5&raw=1
Marcelo Weigandt;Marcelo Weigandt.mp4;;Inter Miami;;https://www.dropbox.com/scl/fi/yp1ayhkt0fj0rhnygfc16/El-Chelo-Weigandt.mp4?rlkey=yvv90wu64dede83ez23ezoatz&raw=1
